10
18 41
3 18 50
8 18 4
14 8 52
6 18 58
5 3 44
1 18 23
7 5 47
9 1 10
13 5 45
12 6 58
16 12 29
2 1 19
10 1 32
4 7 59
15 12 1
17 10 18
11 1 58
5 10 21
9 11 33
15 11 13
8 13 9
8 10 18
11 7 38
13 18 2
16 9 61
14 2 55
1 5 52
10 11 45
1 4 25
11 16 32
4 10 60
11 3 31
17 15 47
16 12 53
5 6 13
6 1 12
9 10 11
1 9 59
2 9 57
15 18 61
6 6 35
27 31
10 13 48
17 10 18
21 17 42
9 13 37
24 17 63
16 9 13
25 10 60
26 10 18
15 13 25
5 13 63
18 21 60
7 25 52
23 16 57
20 26 17
6 24 64
1 15 6
11 25 63
8 20 2
22 8 15
12 5 35
14 9 17
19 18 20
27 14 9
4 7 36
3 8 52
2 13 31
2 12 47
27 15 26
14 2 42
22 6 20
17 9 18
59 69
51 39 44
55 39 23
18 55 4
57 18 27
10 39 34
24 10 18
16 51 60
46 24 17
2 16 45
56 51 44
20 46 8
41 24 43
4 55 8
29 57 16
26 57 17
17 46 40
36 24 57
28 51 57
52 24 17
22 56 30
3 10 32
6 28 23
48 56 37
25 6 32
7 29 59
21 39 24
30 22 53
5 51 22
50 3 62
12 29 13
42 46 45
44 22 9
1 28 50
34 55 34
27 46 19
14 6 52
37 42 45
31 3 13
11 55 49
33 52 35
32 16 55
38 2 44
59 41 60
15 5 39
40 3 38
47 1 7
8 5 40
9 47 55
45 59 16
53 30 27
35 38 22
49 34 20
54 44 24
58 14 20
19 45 12
13 37 50
43 46 47
23 21 45
8 55 42
17 45 35
42 22 41
41 6 55
17 8 6
28 45 40
24 8 59
47 3 27
38 26 39
51 39 40
46 46 20
104 180
85 74 11
44 85 61
80 44 9
33 80 55
65 85 54
29 33 57
18 85 39
94 80 62
79 65 37
40 94 42
101 74 50
12 85 49
26 29 50
36 65 10
56 101 33
41 40 2
100 80 10
55 56 17
37 56 45
15 55 33
72 40 6
47 36 43
10 80 4
5 94 21
77 36 7
25 77 5
83 72 51
63 33 63
2 74 11
82 29 4
14 5 35
81 33 21
24 82 2
60 15 62
58 56 44
91 100 16
102 60 54
23 79 28
42 10 34
104 18 33
90 26 45
32 63 32
11 2 26
53 32 3
49 42 39
31 60 14
71 31 11
61 24 52
64 72 7
70 81 58
54 102 14
19 5 34
38 91 3
95 31 61
87 29 44
68 12 12
21 15 2
45 54 55
76 90 10
22 65 62
34 80 64
27 82 56
20 60 44
93 32 22
86 68 28
97 71 35
75 2 24
4 58 44
28 36 64
